Element ID,Element Name,Keyword,Keyword Type
1.B.1.a,Realistic,Build,Action
1.B.1.a,Realistic,Drive,Action
1.B.1.a,Realistic,Install,Action
1.B.1.a,Realistic,Maintain,Action
1.B.1.a,Realistic,Repair,Action
1.B.1.a,Realistic,Work with Hands,Action
1.B.1.a,Realistic,Animals,Object
1.B.1.a,Realistic,Electronics,Object
1.B.1.a,Realistic,Equipment,Object
1.B.1.a,Realistic,Machines,Object
1.B.1.a,Realistic,Plants,Object
1.B.1.a,Realistic,Real-World Materials like Wood,Object
1.B.1.a,Realistic,Tools,Object
1.B.1.b,Investigative,Analyze,Action
1.B.1.b,Investigative,Diagnose,Action
1.B.1.b,Investigative,Discover,Action
1.B.1.b,Investigative,Problem Solve,Action
1.B.1.b,Investigative,Research,Action
1.B.1.b,Investigative,Study,Action
1.B.1.b,Investigative,Test,Action
1.B.1.b,Investigative,Think,Action
1.B.1.b,Investigative,Facts,Object
1.B.1.b,Investigative,Ideas,Object
1.B.1.b,Investigative,Knowledge,Object
1.B.1.b,Investigative,Laboratory,Object
1.B.1.b,Investigative,Science,Object
1.B.1.c,Artistic,Compose,Action
1.B.1.c,Artistic,Create,Action
1.B.1.c,Artistic,Dance,Action
1.B.1.c,Artistic,Design,Action
1.B.1.c,Artistic,Perform,Action
1.B.1.c,Artistic,Self-Express,Action
1.B.1.c,Artistic,Write,Action
1.B.1.c,Artistic,Art,Object
1.B.1.c,Artistic,Graphics,Object
1.B.1.c,Artistic,Media,Object
1.B.1.c,Artistic,Music,Object
1.B.1.c,Artistic,Theatre,Object
1.B.1.d,Social,Advise,Action
1.B.1.d,Social,Educate,Action
1.B.1.d,Social,Guide,Action
1.B.1.d,Social,Help,Action
1.B.1.d,Social,Nurture,Action
1.B.1.d,Social,Teach,Action
1.B.1.d,Social,Communication,Object
1.B.1.d,Social,Health,Object
1.B.1.d,Social,People,Object
1.B.1.d,Social,Service,Object
1.B.1.d,Social,Social,Object
1.B.1.e,Enterprising,Direct,Action
1.B.1.e,Enterprising,Lead,Action
1.B.1.e,Enterprising,Manage,Action
1.B.1.e,Enterprising,Market,Action
1.B.1.e,Enterprising,Negotiate,Action
1.B.1.e,Enterprising,Sell,Action
1.B.1.e,Enterprising,Supervise,Action
1.B.1.e,Enterprising,Business,Object
1.B.1.e,Enterprising,Customer,Object
1.B.1.e,Enterprising,Employee,Object
1.B.1.e,Enterprising,Law,Object
1.B.1.e,Enterprising,Politics,Object
1.B.1.e,Enterprising,Product,Object
1.B.1.f,Conventional,Attention to Detail,Action
1.B.1.f,Conventional,File,Action
1.B.1.f,Conventional,Inspect,Action
1.B.1.f,Conventional,Organize,Action
1.B.1.f,Conventional,Record,Action
1.B.1.f,Conventional,Sort,Action
1.B.1.f,Conventional,Data,Object
1.B.1.f,Conventional,Files,Object
1.B.1.f,Conventional,Information,Object
1.B.1.f,Conventional,Office,Object
1.B.1.f,Conventional,Procedures,Object
1.B.1.f,Conventional,Regulations,Object
1.B.1.f,Conventional,Rules,Object
