PK,Interests Element ID,Interests Element Name,Keyword,Keyword Type
1,1.B.1.a,Realistic,Build,Action
2,1.B.1.a,Realistic,Drive,Action
3,1.B.1.a,Realistic,Install,Action
4,1.B.1.a,Realistic,Maintain,Action
5,1.B.1.a,Realistic,Repair,Action
6,1.B.1.a,Realistic,Work with Hands,Action
7,1.B.1.a,Realistic,Animals,Object
8,1.B.1.a,Realistic,Electronics,Object
9,1.B.1.a,Realistic,Equipment,Object
10,1.B.1.a,Realistic,Machines,Object
11,1.B.1.a,Realistic,Plants,Object
12,1.B.1.a,Realistic,Real-World Materials like Wood,Object
13,1.B.1.a,Realistic,Tools,Object
14,1.B.1.b,Investigative,Analyze,Action
15,1.B.1.b,Investigative,Diagnose,Action
16,1.B.1.b,Investigative,Discover,Action
17,1.B.1.b,Investigative,Problem Solve,Action
18,1.B.1.b,Investigative,Research,Action
19,1.B.1.b,Investigative,Study,Action
20,1.B.1.b,Investigative,Test,Action
21,1.B.1.b,Investigative,Think,Action
22,1.B.1.b,Investigative,Facts,Object
23,1.B.1.b,Investigative,Ideas,Object
24,1.B.1.b,Investigative,Knowledge,Object
25,1.B.1.b,Investigative,Laboratory,Object
26,1.B.1.b,Investigative,Science,Object
27,1.B.1.c,Artistic,Compose,Action
28,1.B.1.c,Artistic,Create,Action
29,1.B.1.c,Artistic,Dance,Action
30,1.B.1.c,Artistic,Design,Action
31,1.B.1.c,Artistic,Perform,Action
32,1.B.1.c,Artistic,Self-Express,Action
33,1.B.1.c,Artistic,Write,Action
34,1.B.1.c,Artistic,Art,Object
35,1.B.1.c,Artistic,Graphics,Object
36,1.B.1.c,Artistic,Media,Object
37,1.B.1.c,Artistic,Music,Object
38,1.B.1.c,Artistic,Theatre,Object
39,1.B.1.d,Social,Advise,Action
40,1.B.1.d,Social,Educate,Action
41,1.B.1.d,Social,Guide,Action
42,1.B.1.d,Social,Help,Action
43,1.B.1.d,Social,Nurture,Action
44,1.B.1.d,Social,Teach,Action
45,1.B.1.d,Social,Communication,Object
46,1.B.1.d,Social,Health,Object
47,1.B.1.d,Social,People,Object
48,1.B.1.d,Social,Service,Object
49,1.B.1.d,Social,Social,Object
50,1.B.1.e,Enterprising,Direct,Action
51,1.B.1.e,Enterprising,Lead,Action
52,1.B.1.e,Enterprising,Manage,Action
53,1.B.1.e,Enterprising,Market,Action
54,1.B.1.e,Enterprising,Negotiate,Action
55,1.B.1.e,Enterprising,Sell,Action
56,1.B.1.e,Enterprising,Supervise,Action
57,1.B.1.e,Enterprising,Business,Object
58,1.B.1.e,Enterprising,Customer,Object
59,1.B.1.e,Enterprising,Employee,Object
60,1.B.1.e,Enterprising,Law,Object
61,1.B.1.e,Enterprising,Politics,Object
62,1.B.1.e,Enterprising,Product,Object
63,1.B.1.f,Conventional,Attention to Detail,Action
64,1.B.1.f,Conventional,File,Action
65,1.B.1.f,Conventional,Inspect,Action
66,1.B.1.f,Conventional,Organize,Action
67,1.B.1.f,Conventional,Record,Action
68,1.B.1.f,Conventional,Sort,Action
69,1.B.1.f,Conventional,Data,Object
70,1.B.1.f,Conventional,Files,Object
71,1.B.1.f,Conventional,Information,Object
72,1.B.1.f,Conventional,Office,Object
73,1.B.1.f,Conventional,Procedures,Object
74,1.B.1.f,Conventional,Regulations,Object
75,1.B.1.f,Conventional,Rules,Object