PK,Abilities Element ID,Abilities Element Name,Scale ID,Scale Name,Anchor Value,Anchor Description
1,1.A.1.a.1,Oral Comprehension,LV,Level,2,Understand a television commercial
2,1.A.1.a.1,Oral Comprehension,LV,Level,4,Understand a coach's oral instructions for a sport
3,1.A.1.a.1,Oral Comprehension,LV,Level,6,Understand a lecture on advanced physics
4,1.A.1.a.2,Written Comprehension,LV,Level,2,Understand signs on the highway
5,1.A.1.a.2,Written Comprehension,LV,Level,4,Understand an apartment lease
6,1.A.1.a.2,Written Comprehension,LV,Level,6,Understand an instruction book on repairing Artificial Intelligence systems
7,1.A.1.a.3,Oral Expression,LV,Level,2,Place an order at a restaurant drive-thru
8,1.A.1.a.3,Oral Expression,LV,Level,4,Give instructions to a lost motorist
9,1.A.1.a.3,Oral Expression,LV,Level,6,Explain advanced principles of genetics to college freshmen
10,1.A.1.a.4,Written Expression,LV,Level,1,Write a note to remind someone to take food out of the freezer
11,1.A.1.a.4,Written Expression,LV,Level,4,Write a job recommendation for a subordinate
12,1.A.1.a.4,Written Expression,LV,Level,6,Write an advanced economics textbook
13,1.A.1.b.1,Fluency of Ideas,LV,Level,2,Name four different uses for a screwdriver
14,1.A.1.b.1,Fluency of Ideas,LV,Level,4,Think of as many ideas as possible for the name of a new company
15,1.A.1.b.1,Fluency of Ideas,LV,Level,6,Identify as many strategies as possible for a company acquisition and merger
16,1.A.1.b.2,Originality,LV,Level,2,Use a credit card to open a locked door
17,1.A.1.b.2,Originality,LV,Level,4,Redesign job tasks to be interesting for employees
18,1.A.1.b.2,Originality,LV,Level,6,Invent a new type of man-made fiber
19,1.A.1.b.3,Problem Sensitivity,LV,Level,2,Recognize that an unplugged lamp won't work
20,1.A.1.b.3,Problem Sensitivity,LV,Level,4,Notice from a subtle difference in a client's mood that something is bothering them
21,1.A.1.b.3,Problem Sensitivity,LV,Level,6,Recognize an illness at an early stage of a disease when there are only a few symptoms
22,1.A.1.b.4,Deductive Reasoning,LV,Level,2,Know that a stalled car can coast downhill
23,1.A.1.b.4,Deductive Reasoning,LV,Level,5,Decide what factors to consider in selecting stocks
24,1.A.1.b.4,Deductive Reasoning,LV,Level,6,Design an aircraft wing using principles of aerodynamics
25,1.A.1.b.5,Inductive Reasoning,LV,Level,2,Decide what to wear based on the weather report
26,1.A.1.b.5,Inductive Reasoning,LV,Level,4,Determine the prime suspect based on crime scene evidence
27,1.A.1.b.5,Inductive Reasoning,LV,Level,6,Diagnose a disease using results of many different lab tests
28,1.A.1.b.6,Information Ordering,LV,Level,1,Put things in numerical order
29,1.A.1.b.6,Information Ordering,LV,Level,2,Follow the correct steps to make change
30,1.A.1.b.6,Information Ordering,LV,Level,6,Assemble a wind turbine
31,1.A.1.b.7,Category Flexibility,LV,Level,2,Sort paintbrushes based on length
32,1.A.1.b.7,Category Flexibility,LV,Level,3,"Classify flowers according to size, color, and smell"
33,1.A.1.b.7,Category Flexibility,LV,Level,6,"Classify man-made fibers in terms of their characteristics, like strength or cost"
34,1.A.1.c.1,Mathematical Reasoning,LV,Level,1,Determine how much 20 oranges will cost when they are priced at 5 for 4 dollars
35,1.A.1.c.1,Mathematical Reasoning,LV,Level,4,Decide how to calculate profits to determine the amounts of yearly bonuses
36,1.A.1.c.1,Mathematical Reasoning,LV,Level,6,Determine the mathematics required to simulate a space craft landing on the moon
37,1.A.1.c.2,Number Facility,LV,Level,1,Add 2 and 7
38,1.A.1.c.2,Number Facility,LV,Level,3,Calculate a discounted price
39,1.A.1.c.2,Number Facility,LV,Level,5,Compute the interest payment that should be generated from an investment
40,1.A.1.d.1,Memorization,LV,Level,1,Remember the number on your bus to be sure you get back on the right one
41,1.A.1.d.1,Memorization,LV,Level,4,Recite the first names of the five people you just met
42,1.A.1.d.1,Memorization,LV,Level,6,Recite a 300-word speech after studying it for 15 minutes
43,1.A.1.e.1,Speed of Closure,LV,Level,3,Recognize a song after hearing only the first few notes
44,1.A.1.e.1,Speed of Closure,LV,Level,4,Make sense of messy handwriting
45,1.A.1.e.1,Speed of Closure,LV,Level,5,Interpret patterns on weather radar to decide if the weather is changing
46,1.A.1.e.2,Flexibility of Closure,LV,Level,2,Detect that your phone is ringing while at a concert
47,1.A.1.e.2,Flexibility of Closure,LV,Level,4,Look for a golf ball in tall grass
48,1.A.1.e.2,Flexibility of Closure,LV,Level,6,Identify camouflaged animals from a moving vehicle while on a safari
49,1.A.1.e.3,Perceptual Speed,LV,Level,2,Sort mail according to ZIP codes with no time pressure
50,1.A.1.e.3,Perceptual Speed,LV,Level,4,Read five pressure indicators in 10 seconds to make sure each is within safe limits
51,1.A.1.e.3,Perceptual Speed,LV,Level,6,Inspect electrical parts for defects as they pass on a fast-moving assembly line
52,1.A.1.f.1,Spatial Orientation,LV,Level,2,Use the floor plan to locate a store in a mall
53,1.A.1.f.1,Spatial Orientation,LV,Level,3,Find your way through a dark room without hitting anything
54,1.A.1.f.1,Spatial Orientation,LV,Level,6,Navigate an ocean voyage using a compass and landmarks
55,1.A.1.f.2,Visualization,LV,Level,2,Imagine how to place paper in a printer so that the letterhead comes out on top
56,1.A.1.f.2,Visualization,LV,Level,4,Follow a diagram to assemble a metal storage cabinet
57,1.A.1.f.2,Visualization,LV,Level,6,Anticipate future moves in a chess game
58,1.A.1.g.1,Selective Attention,LV,Level,2,Answer a business call with coworkers talking nearby
59,1.A.1.g.1,Selective Attention,LV,Level,4,Watch security monitors for intruders throughout the night shift
60,1.A.1.g.1,Selective Attention,LV,Level,6,Study a technical manual while listening to loud construction sounds
61,1.A.1.g.2,Time Sharing,LV,Level,2,Listen to music while entering numbers into a spreadsheet
62,1.A.1.g.2,Time Sharing,LV,Level,3,Watch street signs while driving at 30 miles an hour
63,1.A.1.g.2,Time Sharing,LV,Level,6,Monitor radar and radio transmissions to keep track of heavy aircraft traffic
64,1.A.2.a.1,Arm-Hand Steadiness,LV,Level,2,Light a candle
65,1.A.2.a.1,Arm-Hand Steadiness,LV,Level,4,Thread a needle
66,1.A.2.a.1,Arm-Hand Steadiness,LV,Level,6,Cut facets in a diamond
67,1.A.2.a.2,Manual Dexterity,LV,Level,1,Screw a light bulb into a light socket
68,1.A.2.a.2,Manual Dexterity,LV,Level,4,Pack oranges in crates as quickly as possible
69,1.A.2.a.2,Manual Dexterity,LV,Level,7,Perform open heart surgery with surgical instruments
70,1.A.2.a.3,Finger Dexterity,LV,Level,2,Put coins in a parking meter
71,1.A.2.a.3,Finger Dexterity,LV,Level,4,Attach small dials to audio equipment on an assembly line
72,1.A.2.a.3,Finger Dexterity,LV,Level,6,Put together the inner workings of a small wrist watch
73,1.A.2.b.1,Control Precision,LV,Level,2,Adjust a room light with a dimmer switch
74,1.A.2.b.1,Control Precision,LV,Level,4,Adjust farm tractor controls
75,1.A.2.b.1,Control Precision,LV,Level,6,Drill a tooth
76,1.A.2.b.2,Multilimb Coordination,LV,Level,2,Row a boat
77,1.A.2.b.2,Multilimb Coordination,LV,Level,4,Operate a forklift truck in a warehouse
78,1.A.2.b.2,Multilimb Coordination,LV,Level,6,Play the drum set in a jazz band
79,1.A.2.b.3,Response Orientation,LV,Level,2,"When a doorbell and phone ring at the same time, quickly select which to answer first"
80,1.A.2.b.3,Response Orientation,LV,Level,4,Use either the brake or gas pedal when your vehicle is skidding
81,1.A.2.b.3,Response Orientation,LV,Level,7,"In an out-of-control commercial aircraft, react quickly to restore control"
82,1.A.2.b.4,Rate Control,LV,Level,1,Ride a bicycle alongside a jogger
83,1.A.2.b.4,Rate Control,LV,Level,4,Keep up with a car that changes speed
84,1.A.2.b.4,Rate Control,LV,Level,5,Shoot a duck in flight
85,1.A.2.c.1,Reaction Time,LV,Level,2,Start to slow down the car when a traffic light turns yellow
86,1.A.2.c.1,Reaction Time,LV,Level,4,Press a button to stop operation when a warning light goes off
87,1.A.2.c.1,Reaction Time,LV,Level,6,Hit the brake when a pedestrian steps in front of your car
88,1.A.2.c.2,Wrist-Finger Speed,LV,Level,2,Use a screwdriver to twist in a screw
89,1.A.2.c.2,Wrist-Finger Speed,LV,Level,3,Carve roast beef in a cafeteria
90,1.A.2.c.2,Wrist-Finger Speed,LV,Level,6,Type 90 words per minute
91,1.A.2.c.3,Speed of Limb Movement,LV,Level,2,Saw through a thin piece of wood
92,1.A.2.c.3,Speed of Limb Movement,LV,Level,4,Swat a fly with a fly swatter
93,1.A.2.c.3,Speed of Limb Movement,LV,Level,6,Throw punches in a boxing match
94,1.A.3.a.1,Static Strength,LV,Level,1,Push an empty shopping cart
95,1.A.3.a.1,Static Strength,LV,Level,4,Pull a 40-pound sack of fertilizer across the lawn
96,1.A.3.a.1,Static Strength,LV,Level,6,Lift 75-pound bags of cement onto a truck
97,1.A.3.a.2,Explosive Strength,LV,Level,2,Hit a nail with a hammer
98,1.A.3.a.2,Explosive Strength,LV,Level,4,Jump onto a 3-foot high platform
99,1.A.3.a.2,Explosive Strength,LV,Level,7,Throw a shot-put in a track meet
100,1.A.3.a.3,Dynamic Strength,LV,Level,2,Use pruning shears to trim a bush
101,1.A.3.a.3,Dynamic Strength,LV,Level,5,Climb a 48-foot long ladder
102,1.A.3.a.3,Dynamic Strength,LV,Level,6,Perform a gymnastics routine using the rings
103,1.A.3.a.4,Trunk Strength,LV,Level,2,Sit up in an office chair
104,1.A.3.a.4,Trunk Strength,LV,Level,4,Shovel snow for half an hour
105,1.A.3.a.4,Trunk Strength,LV,Level,6,Do 100 sit-ups
106,1.A.3.b.1,Stamina,LV,Level,1,Walk 1/4 mile
107,1.A.3.b.1,Stamina,LV,Level,4,Climb 6 flights of stairs
108,1.A.3.b.1,Stamina,LV,Level,6,Run 10 miles
109,1.A.3.c.1,Extent Flexibility,LV,Level,2,Reach to adjust the radio in a car
110,1.A.3.c.1,Extent Flexibility,LV,Level,4,Reach for a box on a high warehouse shelf
111,1.A.3.c.1,Extent Flexibility,LV,Level,6,Work under the dashboard of a car
112,1.A.3.c.2,Dynamic Flexibility,LV,Level,2,Hand pick a bushel of apples from a tree
113,1.A.3.c.2,Dynamic Flexibility,LV,Level,5,Perform a dance routine as part of a cheerleading squad
114,1.A.3.c.2,Dynamic Flexibility,LV,Level,6,Maneuver a kayak through swift rapids
115,1.A.3.c.3,Gross Body Coordination,LV,Level,2,Get in and out of a truck
116,1.A.3.c.3,Gross Body Coordination,LV,Level,4,Swim the length of a pool
117,1.A.3.c.3,Gross Body Coordination,LV,Level,6,Perform a ballet dance
118,1.A.3.c.4,Gross Body Equilibrium,LV,Level,2,Stand on a ladder
119,1.A.3.c.4,Gross Body Equilibrium,LV,Level,4,Walk on ice across a pond
120,1.A.3.c.4,Gross Body Equilibrium,LV,Level,6,Walk on narrow beams in high-rise construction
121,1.A.4.a.1,Near Vision,LV,Level,2,Read indicators on the dashboard of a car
122,1.A.4.a.1,Near Vision,LV,Level,5,Read the fine print of a legal document
123,1.A.4.a.1,Near Vision,LV,Level,6,Detect minor defects in a diamond
124,1.A.4.a.2,Far Vision,LV,Level,2,Read a roadside billboard
125,1.A.4.a.2,Far Vision,LV,Level,4,Read the slides on a presentation from across a room
126,1.A.4.a.2,Far Vision,LV,Level,7,Detect differences in ships on the horizon
127,1.A.4.a.3,Visual Color Discrimination,LV,Level,1,Separate laundry into colors and whites
128,1.A.4.a.3,Visual Color Discrimination,LV,Level,4,Trace electrical circuits marked by various colored wires
129,1.A.4.a.3,Visual Color Discrimination,LV,Level,6,Paint a color portrait of a person
130,1.A.4.a.4,Night Vision,LV,Level,2,Read street signs at dusk (just after sunset)
131,1.A.4.a.4,Night Vision,LV,Level,4,Read a book in a dimly lit setting
132,1.A.4.a.4,Night Vision,LV,Level,6,Find your way through the woods on a moonless night
133,1.A.4.a.5,Peripheral Vision,LV,Level,2,Keep in step while marching in a band
134,1.A.4.a.5,Peripheral Vision,LV,Level,4,Be aware of the location of your teammates while dribbling a basketball
135,1.A.4.a.5,Peripheral Vision,LV,Level,6,Distinguish a teammate from a competitor passing by in a car race
136,1.A.4.a.6,Depth Perception,LV,Level,2,Merge a car into traffic on a city street
137,1.A.4.a.6,Depth Perception,LV,Level,4,Operate a crane to move materials from a truck bed to the ground
138,1.A.4.a.6,Depth Perception,LV,Level,6,Throw a long pass to a closely guarded teammate
139,1.A.4.a.7,Glare Sensitivity,LV,Level,2,Drive on a familiar road on a cloudy day
140,1.A.4.a.7,Glare Sensitivity,LV,Level,5,See boats on the horizon when sailing
141,1.A.4.a.7,Glare Sensitivity,LV,Level,6,Snow ski in bright sunlight
142,1.A.4.b.1,Hearing Sensitivity,LV,Level,2,Notice a doorbell ringing
143,1.A.4.b.1,Hearing Sensitivity,LV,Level,4,Diagnose what's wrong with a car engine from its sound
144,1.A.4.b.1,Hearing Sensitivity,LV,Level,6,Tune an orchestra
145,1.A.4.b.2,Auditory Attention,LV,Level,2,Listen to a lecture while people nearby are talking
146,1.A.4.b.2,Auditory Attention,LV,Level,4,Listen for your flight announcement at a busy airport
147,1.A.4.b.2,Auditory Attention,LV,Level,6,Listen to instructions from a coworker in a noisy saw mill
148,1.A.4.b.3,Sound Localization,LV,Level,2,Listen to a sound system to determine which speaker is working
149,1.A.4.b.3,Sound Localization,LV,Level,4,Find a ringing phone in an unfamiliar apartment
150,1.A.4.b.3,Sound Localization,LV,Level,6,Determining the direction of an emergency vehicle from the sound of the siren
151,1.A.4.b.4,Speech Recognition,LV,Level,2,Recognize the voice of a coworker
152,1.A.4.b.4,Speech Recognition,LV,Level,4,Identify a former customer's voice over the phone
153,1.A.4.b.4,Speech Recognition,LV,Level,6,Understand a speech presented by someone with an unfamiliar accent
154,1.A.4.b.5,Speech Clarity,LV,Level,1,Call numbers in a bingo game
155,1.A.4.b.5,Speech Clarity,LV,Level,4,Make stadium-wide announcements during a sporting event
156,1.A.4.b.5,Speech Clarity,LV,Level,6,Give a lecture to a large audience
157,2.A.1.a,Reading Comprehension,LV,Level,2,Read step-by-step instructions for completing a form
158,2.A.1.a,Reading Comprehension,LV,Level,4,Understand an email from management describing new personnel policies
159,2.A.1.a,Reading Comprehension,LV,Level,6,Read a scientific journal article describing surgical procedures
160,2.A.1.b,Active Listening,LV,Level,2,Take a customer's order
161,2.A.1.b,Active Listening,LV,Level,4,Answer inquiries regarding credit references
162,2.A.1.b,Active Listening,LV,Level,6,Serve as a judge in a complex legal disagreement
163,2.A.1.c,Writing,LV,Level,2,Write down a guest's order at a restaurant
164,2.A.1.c,Writing,LV,Level,4,Write an email to staff outlining new directives
165,2.A.1.c,Writing,LV,Level,6,Write a novel for publication
166,2.A.1.d,Speaking,LV,Level,2,Greet tourists and explain tourist attractions
167,2.A.1.d,Speaking,LV,Level,4,Interview applicants to obtain personal and work history
168,2.A.1.d,Speaking,LV,Level,6,Argue a legal case before the Supreme Court
169,2.A.1.e,Mathematics,LV,Level,2,Count the amount of change to be given to a customer
170,2.A.1.e,Mathematics,LV,Level,4,Calculate the square footage of a new home under construction
171,2.A.1.e,Mathematics,LV,Level,6,Develop a mathematical model to simulate and resolve an engineering problem
172,2.A.1.f,Science,LV,Level,2,Conduct standard tests to determine soil quality
173,2.A.1.f,Science,LV,Level,4,Conduct product tests to ensure safety standards are met
174,2.A.1.f,Science,LV,Level,6,Analyze aerodynamic systems to determine the practicality of a design
175,2.A.2.a,Critical Thinking,LV,Level,2,Determine whether a subordinate has a good excuse for being late
176,2.A.2.a,Critical Thinking,LV,Level,4,Evaluate customer complaints and determine appropriate responses
177,2.A.2.a,Critical Thinking,LV,Level,6,Write legal brief challenging a federal law
178,2.A.2.b,Active Learning,LV,Level,2,Think about the implications of a news article for job opportunities
179,2.A.2.b,Active Learning,LV,Level,4,Determine the impact of new menu changes on a restaurant's purchasing requirements
180,2.A.2.b,Active Learning,LV,Level,6,Identify the implications of a new scientific theory for product design
181,2.A.2.c,Learning Strategies,LV,Level,2,Learn a different method of completing a task from a coworker
182,2.A.2.c,Learning Strategies,LV,Level,4,Identify an alternative approach to help trainees who are having difficulties
183,2.A.2.c,Learning Strategies,LV,Level,6,Apply principles of educational psychology to develop new teaching methods
184,2.A.2.d,Monitoring,LV,Level,2,Proofread and correct a letter
185,2.A.2.d,Monitoring,LV,Level,4,Monitor a meeting and revise the agenda to ensure important topics are discussed
186,2.A.2.d,Monitoring,LV,Level,6,Review corporate productivity and develop a plan to increase it
187,2.B.1.a,Social Perceptiveness,LV,Level,2,Notice that customers are angry because they have been waiting too long
188,2.B.1.a,Social Perceptiveness,LV,Level,4,Be aware of how a coworker's promotion will affect a work group
189,2.B.1.a,Social Perceptiveness,LV,Level,6,Counsel patients who are depressed during a crisis period
190,2.B.1.b,Coordination,LV,Level,2,Schedule appointments for a medical clinic
191,2.B.1.b,Coordination,LV,Level,4,Work with others to put a new roof on a house
192,2.B.1.b,Coordination,LV,Level,6,Direct a project requiring coordination between multiple subcontractors
193,2.B.1.c,Persuasion,LV,Level,2,Solicit donations for a charity
194,2.B.1.c,Persuasion,LV,Level,4,Convince a supervisor to purchase new office equipment
195,2.B.1.c,Persuasion,LV,Level,6,Change the opinion of the jury in a complex legal case
196,2.B.1.d,Negotiation,LV,Level,2,Present justification to a manager for altering a work schedule
197,2.B.1.d,Negotiation,LV,Level,4,Contract with a wholesaler to sell items at a given cost
198,2.B.1.d,Negotiation,LV,Level,6,Work as an ambassador in negotiating a new treaty
199,2.B.1.e,Instructing,LV,Level,2,Instruct a new employee in the use of a timekeeping system
200,2.B.1.e,Instructing,LV,Level,4,Instruct a coworker in how to operate a software program
201,2.B.1.e,Instructing,LV,Level,6,Demonstrate a surgical procedure to interns in a teaching hospital
202,2.B.1.f,Service Orientation,LV,Level,2,Ask customers if they would like a cup of coffee
203,2.B.1.f,Service Orientation,LV,Level,4,Make flight reservations for customers using an online booking site
204,2.B.1.f,Service Orientation,LV,Level,6,Direct relief agency operations in a disaster area
205,2.B.2.i,Complex Problem Solving,LV,Level,2,Lay out tools to complete a job
206,2.B.2.i,Complex Problem Solving,LV,Level,4,Redesign a floor layout to take advantage of new manufacturing techniques
207,2.B.2.i,Complex Problem Solving,LV,Level,6,Develop a plan to provide emergency relief for a major metropolitan area
208,2.B.3.a,Operations Analysis,LV,Level,2,Select a printer for an office
209,2.B.3.a,Operations Analysis,LV,Level,4,Suggest changes in software to make a system more user friendly
210,2.B.3.a,Operations Analysis,LV,Level,6,Identify the control system needed for a new process production plant
211,2.B.3.b,Technology Design,LV,Level,2,Adjust exercise equipment for use by a customer
212,2.B.3.b,Technology Design,LV,Level,4,Redesign the handle on a hand tool for easier gripping
213,2.B.3.b,Technology Design,LV,Level,6,Create new technology for producing industrial diamonds
214,2.B.3.c,Equipment Selection,LV,Level,2,Select a tool to adjust a loose part on a bicycle
215,2.B.3.c,Equipment Selection,LV,Level,4,Choose a software application to complete a work assignment
216,2.B.3.c,Equipment Selection,LV,Level,6,Identify the equipment needed to produce a new product line
217,2.B.3.d,Installation,LV,Level,2,Install a new air filter in an air conditioner
218,2.B.3.d,Installation,LV,Level,4,Install a speaker system in a car
219,2.B.3.d,Installation,LV,Level,6,Install a custom-made production machine for a new product
220,2.B.3.e,Programming,LV,Level,2,Write a program to sort objects in a database
221,2.B.3.e,Programming,LV,Level,4,Write a statistical analysis program to analyze demographic data
222,2.B.3.e,Programming,LV,Level,6,Write programs to analyze geological data for existence of mineral deposits
223,2.B.3.g,Operations Monitoring,LV,Level,2,Monitor completion times while running a computer program
224,2.B.3.g,Operations Monitoring,LV,Level,4,Monitor machine functions on an automated production line
225,2.B.3.g,Operations Monitoring,LV,Level,6,Monitor feedback control in a processing facility to maintain production flow
226,2.B.3.h,Operation and Control,LV,Level,2,Navigate the settings on an office printer to print on both sides of the paper
227,2.B.3.h,Operation and Control,LV,Level,4,Adjust the speed of assembly line equipment based on the product being assembled
228,2.B.3.h,Operation and Control,LV,Level,6,Control aircraft approach and landing at a large airport during a busy period
229,2.B.3.j,Equipment Maintenance,LV,Level,2,Add oil to an engine as indicated by a warning light
230,2.B.3.j,Equipment Maintenance,LV,Level,4,Clean moving parts in production machinery
231,2.B.3.j,Equipment Maintenance,LV,Level,6,Conduct maintenance checks on an aircraft
232,2.B.3.k,Troubleshooting,LV,Level,2,Identify the source of a leak by looking under a machine
233,2.B.3.k,Troubleshooting,LV,Level,4,Identify the circuit causing an electrical system to fail
234,2.B.3.k,Troubleshooting,LV,Level,6,Direct the debugging of code for a new operating system
235,2.B.3.l,Repairing,LV,Level,2,Tighten a screw to get a door to close properly
236,2.B.3.l,Repairing,LV,Level,4,Replace a faulty hydraulic valve
237,2.B.3.l,Repairing,LV,Level,6,Repair structural damage after an earthquake
238,2.B.3.m,Quality Control Analysis,LV,Level,2,"Inspect a draft email for errors (e.g., grammar, punctuation)"
239,2.B.3.m,Quality Control Analysis,LV,Level,4,Assess new parts for precision and accuracy to specifications
240,2.B.3.m,Quality Control Analysis,LV,Level,6,Develop procedures to test a prototype of a new computer system
241,2.B.4.e,Judgment and Decision Making,LV,Level,2,Decide how scheduling a break will affect work flow
242,2.B.4.e,Judgment and Decision Making,LV,Level,4,Evaluate a loan application for degree of risk
243,2.B.4.e,Judgment and Decision Making,LV,Level,6,Decide whether a manufacturing company should invest in new robotics technology
244,2.B.4.g,Systems Analysis,LV,Level,2,Determine how loss of a team member will affect the completion of a job
245,2.B.4.g,Systems Analysis,LV,Level,4,Determine how a new piece of equipment will affect production rates
246,2.B.4.g,Systems Analysis,LV,Level,6,Identify how changes in tax laws affect locations of manufacturing operations
247,2.B.4.h,Systems Evaluation,LV,Level,2,Determine why estimates for the time to complete a task are overly optimistic
248,2.B.4.h,Systems Evaluation,LV,Level,4,Identify the reasons why a client might be unhappy with a product
249,2.B.4.h,Systems Evaluation,LV,Level,6,Evaluate the long-term performance of a new computer system
250,2.B.5.a,Time Management,LV,Level,2,Keep a monthly calendar of appointments
251,2.B.5.a,Time Management,LV,Level,4,Allocate the time of subordinates to projects for the coming week
252,2.B.5.a,Time Management,LV,Level,6,Allocate the time of scientists to multiple research projects
253,2.B.5.b,Management of Financial Resources,LV,Level,2,Use available funds to buy office supplies and record the amount of the purchase
