PK,Abilities Element ID,Abilities Element Name,Scale ID,Scale Name,Anchor Value,Anchor Description
254,2.B.5.b,Management of Financial Resources,LV,Level,4,Prepare and manage a budget for a short-term project
255,2.B.5.b,Management of Financial Resources,LV,Level,6,"Develop, monitor, and adjust annual budgets for a large corporation"
256,2.B.5.c,Management of Material Resources,LV,Level,2,Reserve a room for a management meeting
257,2.B.5.c,Management of Material Resources,LV,Level,4,Evaluate an annual uniform service contract for delivery drivers
258,2.B.5.c,Management of Material Resources,LV,Level,6,Determine and monitor the computer system needs of a large corporation
259,2.B.5.d,Management of Personnel Resources,LV,Level,2,Encourage a coworker who is having difficulty finishing a project
260,2.B.5.d,Management of Personnel Resources,LV,Level,4,Direct the activities of a road repair crew with minimal disruption of traffic flow
261,2.B.5.d,Management of Personnel Resources,LV,Level,6,Manage recruitment and training programs for a high-performance company
262,2.C.1.a,Administration and Management,LV,Level,2,Approve a reimbursement request
263,2.C.1.a,Administration and Management,LV,Level,4,Monitor progress of a project to ensure timely completion
264,2.C.1.a,Administration and Management,LV,Level,6,Manage a multimillion-dollar company
265,2.C.1.b,Administrative,LV,Level,2,Direct phone calls to the appropriate staff member
266,2.C.1.b,Administrative,LV,Level,3,Type 30 words per minute
267,2.C.1.b,Administrative,LV,Level,5,Organize a digital storage system for company forms
268,2.C.1.c,Economics and Accounting,LV,Level,2,Answer billing questions from credit card customers
269,2.C.1.c,Economics and Accounting,LV,Level,4,Develop financial investment programs for individual clients
270,2.C.1.c,Economics and Accounting,LV,Level,6,Keep a major corporation's financial records
271,2.C.1.d,Sales and Marketing,LV,Level,2,Sell cakes at a bake sale
272,2.C.1.d,Sales and Marketing,LV,Level,4,Introduce clients to a new line of products
273,2.C.1.d,Sales and Marketing,LV,Level,6,Develop a marketing plan for a new nationwide high-speed internet system
274,2.C.1.e,Customer and Personal Service,LV,Level,2,Process a customer's dry-cleaning drop off
275,2.C.1.e,Customer and Personal Service,LV,Level,4,Be responsible for 10 children at daycare
276,2.C.1.e,Customer and Personal Service,LV,Level,6,Respond to a citizen's request for assistance after a major disaster
277,2.C.1.f,Personnel and Human Resources,LV,Level,2,Fill out a medical claim form
278,2.C.1.f,Personnel and Human Resources,LV,Level,3,Interview applicants for an administrative position
279,2.C.1.f,Personnel and Human Resources,LV,Level,6,Design a new personnel selection and promotion system for the Army
280,2.C.10,Transportation,LV,Level,2,Ride a train to work
281,2.C.10,Transportation,LV,Level,5,Drive a semi-truck through a busy city
282,2.C.10,Transportation,LV,Level,6,Control air traffic at a busy airport
283,2.C.2.a,Production and Processing,LV,Level,2,Put a computer back into its packing materials
284,2.C.2.a,Production and Processing,LV,Level,4,Supervise an appliance assembly line
285,2.C.2.a,Production and Processing,LV,Level,6,Manage an international shipping company distribution center
286,2.C.2.b,Food Production,LV,Level,2,Grow herbs in the kitchen
287,2.C.2.b,Food Production,LV,Level,5,Operate a commercial fishing boat
288,2.C.2.b,Food Production,LV,Level,6,Run a large production farm
289,2.C.3.a,Computers and Electronics,LV,Level,1,Operate a media player to watch a training video
290,2.C.3.a,Computers and Electronics,LV,Level,3,Use a computer to format a document
291,2.C.3.a,Computers and Electronics,LV,Level,6,Create a program to scan a computer for viruses
292,2.C.3.b,Engineering and Technology,LV,Level,2,Install a door lock
293,2.C.3.b,Engineering and Technology,LV,Level,4,Design a custom office chair
294,2.C.3.b,Engineering and Technology,LV,Level,6,Plan for the impact of weather in designing a bridge
295,2.C.3.c,Design,LV,Level,2,Draw a straight line 4 3/16 inches long
296,2.C.3.c,Design,LV,Level,4,Design plans for remodeling a kitchen
297,2.C.3.c,Design,LV,Level,6,Develop detailed plans for a high-rise office building
298,2.C.3.d,Building and Construction,LV,Level,2,Choose the proper type of wood for adding a deck onto a house
299,2.C.3.d,Building and Construction,LV,Level,4,Fix a plumbing leak in the ceiling
300,2.C.3.d,Building and Construction,LV,Level,6,Build a high-rise office tower
301,2.C.3.e,Mechanical,LV,Level,2,Replace the filters in a furnace
302,2.C.3.e,Mechanical,LV,Level,4,Replace a valve on a steam pipe
303,2.C.3.e,Mechanical,LV,Level,7,Overhaul an airplane jet engine
304,2.C.4.a,Mathematics,LV,Level,1,Add two numbers
305,2.C.4.a,Mathematics,LV,Level,4,Analyze data to determine areas with the highest sales
306,2.C.4.a,Mathematics,LV,Level,6,Derive a complex mathematical equation
307,2.C.4.b,Physics,LV,Level,1,Use a crowbar to pry open a box
308,2.C.4.b,Physics,LV,Level,4,Calculate the speed of a falling object
309,2.C.4.b,Physics,LV,Level,6,Design a cleaner burning gasoline engine
310,2.C.4.c,Chemistry,LV,Level,2,Use a common household bug spray
311,2.C.4.c,Chemistry,LV,Level,4,Use the proper concentration of chlorine to purify a water source
312,2.C.4.c,Chemistry,LV,Level,6,Develop a safe commercial cleaner
313,2.C.4.d,Biology,LV,Level,1,Feed domestic animals
314,2.C.4.d,Biology,LV,Level,5,Investigate the effects of pollution on marine plants and animals
315,2.C.4.d,Biology,LV,Level,7,Isolate and identify a new virus
316,2.C.4.e,Psychology,LV,Level,2,Monitor several children on a playground
317,2.C.4.e,Psychology,LV,Level,4,Understand the impact of alcohol on human responses
318,2.C.4.e,Psychology,LV,Level,6,Treat a person with a severe mental illness
319,2.C.4.f,Sociology and Anthropology,LV,Level,2,Identify two cultures in a story as being different
320,2.C.4.f,Sociology and Anthropology,LV,Level,5,Write an article about cultural differences
321,2.C.4.f,Sociology and Anthropology,LV,Level,7,Create a new theory about the development of civilizations
322,2.C.4.g,Geography,LV,Level,2,Know the capital of the United States
323,2.C.4.g,Geography,LV,Level,4,Find a specific country on a world map
324,2.C.4.g,Geography,LV,Level,6,"Develop a map of the world showing mountains, deserts, and rivers"
325,2.C.5.a,Medicine and Dentistry,LV,Level,1,Use a band-aid
326,2.C.5.a,Medicine and Dentistry,LV,Level,5,Fill a tooth cavity
327,2.C.5.a,Medicine and Dentistry,LV,Level,7,Perform open heart surgery
328,2.C.5.b,Therapy and Counseling,LV,Level,2,Put ice on a sprained ankle
329,2.C.5.b,Therapy and Counseling,LV,Level,4,Provide job counseling to the unemployed
330,2.C.5.b,Therapy and Counseling,LV,Level,6,Counsel an abused child
331,2.C.6,Education and Training,LV,Level,2,Show someone how to bowl
332,2.C.6,Education and Training,LV,Level,4,Lead a quality improvement seminar
333,2.C.6,Education and Training,LV,Level,6,Design a training program for new employees
334,2.C.7.a,English Language,LV,Level,2,Write a thank you note
335,2.C.7.a,English Language,LV,Level,4,Edit an article for a news website
336,2.C.7.a,English Language,LV,Level,6,Teach a college English class
337,2.C.7.b,Foreign Language,LV,Level,1,"Say ""please"" and ""thank you"" in a foreign language"
338,2.C.7.b,Foreign Language,LV,Level,3,Ask directions in a foreign city
339,2.C.7.b,Foreign Language,LV,Level,5,Write an English language review of a book written in a foreign language
340,2.C.7.c,Fine Arts,LV,Level,1,Attend a popular music concert
341,2.C.7.c,Fine Arts,LV,Level,3,Play a minor part in a local theater play
342,2.C.7.c,Fine Arts,LV,Level,5,Design an exhibit for a major art show
343,2.C.7.d,History and Archeology,LV,Level,3,Take a class in US history
344,2.C.7.d,History and Archeology,LV,Level,4,Teach local history to school children
345,2.C.7.d,History and Archeology,LV,Level,6,Determine the age of bones for placing them in fossil history
346,2.C.7.e,Philosophy and Theology,LV,Level,2,Watch a TV show on family values
347,2.C.7.e,Philosophy and Theology,LV,Level,4,Understand another culture's religious practices
348,2.C.7.e,Philosophy and Theology,LV,Level,6,Compare the teachings of major philosophers
349,2.C.8.a,Public Safety and Security,LV,Level,1,Use a seatbelt
350,2.C.8.a,Public Safety and Security,LV,Level,4,Inspect a building site for safety violations
351,2.C.8.a,Public Safety and Security,LV,Level,6,Command a military operation
352,2.C.8.b,Law and Government,LV,Level,2,Describe the length of a U.S. presidential term
353,2.C.8.b,Law and Government,LV,Level,4,Prepare documents and title papers for the purchase of a new house
354,2.C.8.b,Law and Government,LV,Level,6,Serve as a judge in a federal court
355,2.C.9.a,Telecommunications,LV,Level,1,Send an email
356,2.C.9.a,Telecommunications,LV,Level,2,Install a wireless internet router
357,2.C.9.a,Telecommunications,LV,Level,7,"Develop a new, world-wide telecommunications network"
358,2.C.9.b,Communications and Media,LV,Level,2,Write a thank you note
359,2.C.9.b,Communications and Media,LV,Level,4,Host a music radio show
360,2.C.9.b,Communications and Media,LV,Level,5,Write a novel
361,4.A.1.a.1,Getting Information,LV,Level,2,Follow a standard blueprint
362,4.A.1.a.1,Getting Information,LV,Level,4,Review a budget
363,4.A.1.a.1,Getting Information,LV,Level,6,Study international tax laws
364,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings",LV,Level,2,Check to see if baking bread is done
365,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings",LV,Level,4,Test electrical circuits
366,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings",LV,Level,6,Check the status of a patient in critical medical care
367,4.A.1.b.1,"Identifying Objects, Actions, and Events",LV,Level,2,Test an automobile transmission
368,4.A.1.b.1,"Identifying Objects, Actions, and Events",LV,Level,4,Judge the suitability of food products for an event
369,4.A.1.b.1,"Identifying Objects, Actions, and Events",LV,Level,6,Determine the reaction of a virus to a new drug
370,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials",LV,Level,1,Check that doors to building are locked
371,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials",LV,Level,4,Inspect equipment in a chemical processing plant
372,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials",LV,Level,6,Conduct a thorough inspection of an aircraft engine
373,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information",LV,Level,2,Estimate the size of household furniture to be shipped
374,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information",LV,Level,4,Estimate the time required to evacuate a city in the event of a major disaster
375,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information",LV,Level,6,Estimate the amount of natural resources that lie beneath the world's oceans
376,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",LV,Level,2,Determine whether to remove a tree that has been damaged
377,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",LV,Level,4,Determine the value of property lost in a fire
378,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",LV,Level,6,Establish the value of a recently discovered ancient artwork
379,4.A.2.a.2,Processing Information,LV,Level,2,Calculate the costs for shipping packages
380,4.A.2.a.2,Processing Information,LV,Level,4,Calculate the adjustments for insurance claims
381,4.A.2.a.2,Processing Information,LV,Level,6,Compile data for a complex scientific report
382,4.A.2.a.3,Evaluating Information to Determine Compliance with Standards,LV,Level,1,Review forms for completeness
383,4.A.2.a.3,Evaluating Information to Determine Compliance with Standards,LV,Level,4,Evaluate a complicated insurance claim for compliance with policy terms
384,4.A.2.a.3,Evaluating Information to Determine Compliance with Standards,LV,Level,6,Make a ruling in court on a complicated motion
385,4.A.2.a.4,Analyzing Data or Information,LV,Level,1,Skim a short article to gather the main point
386,4.A.2.a.4,Analyzing Data or Information,LV,Level,4,Determine the interest cost to finance a new building
387,4.A.2.a.4,Analyzing Data or Information,LV,Level,6,Analyze the cost of medical care services for all hospitals in the country
388,4.A.2.b.1,Making Decisions and Solving Problems,LV,Level,2,Determine the meal selection for a cafeteria
389,4.A.2.b.1,Making Decisions and Solving Problems,LV,Level,4,Select the location for a major retail store
390,4.A.2.b.1,Making Decisions and Solving Problems,LV,Level,6,Make the final decision about a company's 5-year plan
391,4.A.2.b.2,Thinking Creatively,LV,Level,1,Change the spacing on a printed report
392,4.A.2.b.2,Thinking Creatively,LV,Level,4,Adapt popular music for a high school marching band
393,4.A.2.b.2,Thinking Creatively,LV,Level,6,Create new computer software
394,4.A.2.b.3,Updating and Using Relevant Knowledge,LV,Level,2,Keep up with price changes in a small retail store
395,4.A.2.b.3,Updating and Using Relevant Knowledge,LV,Level,4,Keep current on changes in maintenance procedures for repairing sports cars
396,4.A.2.b.3,Updating and Using Relevant Knowledge,LV,Level,6,Learn information related to a complex and rapidly changing technology
397,4.A.2.b.4,Developing Objectives and Strategies,LV,Level,2,Plan the holiday schedule for an airline workforce
398,4.A.2.b.4,Developing Objectives and Strategies,LV,Level,4,Develop the plan to complete the merger of two organizations over a 3-year period
399,4.A.2.b.4,Developing Objectives and Strategies,LV,Level,6,Develop a 10-year business plan for an organization
400,4.A.2.b.5,Scheduling Work and Activities,LV,Level,2,Make appointments for patients using a predetermined schedule
401,4.A.2.b.5,Scheduling Work and Activities,LV,Level,4,Prepare the work schedule for salesclerks in a large retail store
402,4.A.2.b.5,Scheduling Work and Activities,LV,Level,6,"Schedule a complex conference program with multiple, parallel sessions"
403,4.A.2.b.6,"Organizing, Planning, and Prioritizing Work",LV,Level,2,Organize a work schedule that is repetitive and easy to plan
404,4.A.2.b.6,"Organizing, Planning, and Prioritizing Work",LV,Level,4,Plan and adjust a personal to-do list according to changing demands
405,4.A.2.b.6,"Organizing, Planning, and Prioritizing Work",LV,Level,6,Prioritize and plan multiple tasks several months ahead
406,4.A.3.a.1,Performing General Physical Activities,LV,Level,1,Walk between workstations in a small office
407,4.A.3.a.1,Performing General Physical Activities,LV,Level,4,Paint the outside of a house
408,4.A.3.a.1,Performing General Physical Activities,LV,Level,6,Climb up and down poles to install electricity
409,4.A.3.a.2,Handling and Moving Objects,LV,Level,2,Change settings on copy machines
410,4.A.3.a.2,Handling and Moving Objects,LV,Level,4,Arrange books in a library
411,4.A.3.a.2,Handling and Moving Objects,LV,Level,6,Load boxes on an assembly line
412,4.A.3.a.3,Controlling Machines and Processes,LV,Level,2,Operate a cash register
413,4.A.3.a.3,Controlling Machines and Processes,LV,Level,4,Operate a drilling rig
414,4.A.3.a.3,Controlling Machines and Processes,LV,Level,6,Operate a precision milling machine
415,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment",LV,Level,2,Drive a car
416,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment",LV,Level,4,Drive an 18-wheel tractor-trailer
417,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment",LV,Level,6,Hover a helicopter in strong wind
418,4.A.3.b.1,Working with Computers,LV,Level,2,Enter employee information into a database
419,4.A.3.b.1,Working with Computers,LV,Level,4,Write software for keeping track of parts in inventory
420,4.A.3.b.1,Working with Computers,LV,Level,6,Set up a new computer system for a large multinational company
421,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",LV,Level,2,Specify the lighting for a work area
422,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",LV,Level,4,Specify the furniture and equipment for a new school
423,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",LV,Level,6,Draw the layout of a circuit board for a high-performance computer
424,4.A.3.b.4,Repairing and Maintaining Mechanical Equipment,LV,Level,2,"Make simple, external adjustments to a door hinge with ordinary hand tools"
425,4.A.3.b.4,Repairing and Maintaining Mechanical Equipment,LV,Level,4,Change the oil on a tractor
426,4.A.3.b.4,Repairing and Maintaining Mechanical Equipment,LV,Level,6,Overhaul a power plant turbine
427,4.A.3.b.5,Repairing and Maintaining Electronic Equipment,LV,Level,1,Use display settings to adjust a television picture
428,4.A.3.b.5,Repairing and Maintaining Electronic Equipment,LV,Level,4,Make repairs by removing and replacing circuit boards
429,4.A.3.b.5,Repairing and Maintaining Electronic Equipment,LV,Level,6,Use complex test equipment to calibrate electronic equipment
430,4.A.3.b.6,Documenting/Recording Information,LV,Level,2,Record the weight of a patient during a routine health exam
431,4.A.3.b.6,Documenting/Recording Information,LV,Level,4,Document the results of a crime scene investigation
432,4.A.3.b.6,Documenting/Recording Information,LV,Level,6,Maintain information about the use of satellites for industry communications
433,4.A.4.a.1,Interpreting the Meaning of Information for Others,LV,Level,1,Interpret a blood pressure reading
434,4.A.4.a.1,Interpreting the Meaning of Information for Others,LV,Level,4,Interpret how foreign tax laws apply to U.S. exports
435,4.A.4.a.1,Interpreting the Meaning of Information for Others,LV,Level,6,Interpret a complex experiment in physics for general audiences
436,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates",LV,Level,1,Write brief messages to others
437,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates",LV,Level,4,Report the results of a sales meeting to a supervisor
438,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates",LV,Level,6,Create and deliver a presentation on a company's internal policies
439,4.A.4.a.3,Communicating with People Outside the Organization,LV,Level,1,Have little contact with people outside the organization
440,4.A.4.a.3,Communicating with People Outside the Organization,LV,Level,4,Present information to potential clients about available services
441,4.A.4.a.3,Communicating with People Outside the Organization,LV,Level,6,Prepare or deliver press releases
442,4.A.4.a.4,Establishing and Maintaining Interpersonal Relationships,LV,Level,1,Exchange greetings with a coworker
443,4.A.4.a.4,Establishing and Maintaining Interpersonal Relationships,LV,Level,4,Maintain good working relationships with almost all coworkers and clients
444,4.A.4.a.4,Establishing and Maintaining Interpersonal Relationships,LV,Level,7,Gain cooperation from a diverse group of executives with competing interests
445,4.A.4.a.5,Assisting and Caring for Others,LV,Level,2,Help a coworker complete an assignment
446,4.A.4.a.5,Assisting and Caring for Others,LV,Level,4,Help a medical patient find in-home assistance or healthcare
447,4.A.4.a.5,Assisting and Caring for Others,LV,Level,6,Care for seriously injured persons in an emergency room
448,4.A.4.a.6,Selling or Influencing Others,LV,Level,1,Convince a coworker to assist with an assignment
449,4.A.4.a.6,Selling or Influencing Others,LV,Level,4,Make a sales pitch to convince others to buy a product
450,4.A.4.a.6,Selling or Influencing Others,LV,Level,6,Deliver a major sales campaign in a new market
451,4.A.4.a.7,Resolving Conflicts and Negotiating with Others,LV,Level,2,Apologize to a customer who complains about waiting too long
452,4.A.4.a.7,Resolving Conflicts and Negotiating with Others,LV,Level,4,Get two subordinates to agree about vacation schedules
453,4.A.4.a.7,Resolving Conflicts and Negotiating with Others,LV,Level,7,Negotiate a major labor-management contract
454,4.A.4.a.8,Performing for or Working Directly with the Public,LV,Level,1,Check tickets at a concert
455,4.A.4.a.8,Performing for or Working Directly with the Public,LV,Level,4,Sell shoes in a crowded shoe store
456,4.A.4.a.8,Performing for or Working Directly with the Public,LV,Level,6,Perform a monologue on TV
457,4.A.4.b.1,Coordinating the Work and Activities of Others,LV,Level,2,Exchange information during a shift change
458,4.A.4.b.1,Coordinating the Work and Activities of Others,LV,Level,4,Organize the cleanup crew after a major sporting event
459,4.A.4.b.1,Coordinating the Work and Activities of Others,LV,Level,7,Act as general contractor for building a large industrial complex
460,4.A.4.b.2,Developing and Building Teams,LV,Level,1,Encourage two coworkers to stick with a tough assignment
461,4.A.4.b.2,Developing and Building Teams,LV,Level,4,Lead an assembly team in an automobile plant
462,4.A.4.b.2,Developing and Building Teams,LV,Level,6,Lead a large team to design and build a new aircraft
463,4.A.4.b.3,Training and Teaching Others,LV,Level,2,Give coworkers brief instructions on a simple procedural change
464,4.A.4.b.3,Training and Teaching Others,LV,Level,4,Teach a social sciences course to high school students
465,4.A.4.b.3,Training and Teaching Others,LV,Level,6,Develop and conduct training programs for a medical school
466,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates",LV,Level,2,Work occasionally as a backup supervisor
467,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates",LV,Level,4,Manage a small team of employees in a dynamic workplace
468,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates",LV,Level,7,Manage a severely downsized unit
469,4.A.4.b.5,Coaching and Developing Others,LV,Level,2,Show a coworker how to operate a piece of equipment
470,4.A.4.b.5,Coaching and Developing Others,LV,Level,4,Provide on-the-job training for administrative workers
471,4.A.4.b.5,Coaching and Developing Others,LV,Level,6,Coach a college athletic team
472,4.A.4.b.6,Providing Consultation and Advice to Others,LV,Level,1,Work in a position that requires little advising of others
473,4.A.4.b.6,Providing Consultation and Advice to Others,LV,Level,4,Recommend a new software package to increase operational efficiency
474,4.A.4.b.6,Providing Consultation and Advice to Others,LV,Level,7,Provide ideas for changing an organization to increase profitability
475,4.A.4.c.1,Performing Administrative Activities,LV,Level,2,Complete routine paperwork
476,4.A.4.c.1,Performing Administrative Activities,LV,Level,4,Complete tax forms for a small business
477,4.A.4.c.1,Performing Administrative Activities,LV,Level,6,Serve as the benefits director for a large computer sales organization
478,4.A.4.c.2,Staffing Organizational Units,LV,Level,1,Work in a position that has minimal staffing requirements
479,4.A.4.c.2,Staffing Organizational Units,LV,Level,4,Interview candidates for a sales position and make hiring recommendations
480,4.A.4.c.2,Staffing Organizational Units,LV,Level,7,Direct a recruiting program for a large international organization
481,4.A.4.c.3,Monitoring and Controlling Resources,LV,Level,2,Work as a server responsible for keeping track of utensils
482,4.A.4.c.3,Monitoring and Controlling Resources,LV,Level,4,Work as a chef responsible for ordering food for the menu
483,4.A.4.c.3,Monitoring and Controlling Resources,LV,Level,6,Serve as a financial executive in charge of a large company's budget